"Time [h]","CentralMeasure [µmol/l]","SD [µmol/l]"
168,0.0147,0.0071
336,0.0501,0.0198
504,0.168,0.0736
672,0.593,0.297
683.4709,0.5630627,NaN
683.7537,0.3106025,NaN
684.0217,0.1091093,NaN
684.077,0.5866433,NaN
684.0851,0.7503751,NaN
684.0871,0.7980029,NaN
684.3504,0.2428291,NaN
684.3834,0.6634776,NaN
684.3942,0.921224,NaN
694.6375,0.2981175,NaN
694.9667,0.6772281,NaN
695.4947,0.06533483,NaN
695.5526,0.3813219,NaN
696.1263,0.1484199,NaN
696.4698,0.5187069,NaN
697.9984,0.8662419,NaN
702.8322,0.7659265,NaN
703.074,0.1208942,NaN
703.3474,0.05004168,NaN
703.4194,0.4493257,NaN
703.4288,0.5988014,NaN
704.0006,0.2191579,NaN
704.0187,0.3813219,NaN
717.6102,0.2428291,NaN
719.9315,0.01240341,NaN
720.6157,0.1395617,NaN
721.25,0.3441505,NaN
722.147,0.2529986,NaN
723.0723,0.4402026,NaN
728.5162,0.4586379,NaN
743.6053,0.1898438,NaN
744.2032,0.1546356,NaN
744.7313,0.0149183,NaN
746.9199,0.1339519,NaN
747.8471,0.2478617,NaN
750.2256,0.07239161,NaN
752.2795,0.01074436,NaN
752.4856,0.0005717923,NaN
757.4574,0.03388963,NaN
769.3088,0.2060778,NaN
770.5054,0.1395617,NaN
772.9001,0.06668889,NaN
776.5049,0.03252741,NaN
776.8477,0.1113706,NaN
792.2661,0.1047236,NaN
792.7698,0.004827715,NaN
797.0291,0.01074436,NaN
810.9748,0.03320153,NaN
815.3843,0.0007165291,NaN
816.0537,0.00513414,NaN
816.6234,0.001766916,NaN
816.9958,0.0149183,NaN
817.0329,0.0460996,NaN
818.4551,0.003011909,NaN
821.4606,0.001731041,NaN
839.5767,0.000793921,NaN
841.1269,0.002556068,NaN
841.4818,0.01266047,NaN
842.6791,0.008751723,NaN
